Definition: Grid Imported = Grid To Home + Grid To Storage; Utilized PV Energy = Home Usage - Grid Imported; Carbon Reduction = Total Solar Generation × 0.363
Date,Home Usage (kWh),Smart Plug Usage (kWh),Grid Imported (kWh),Grid to Home (kWh),Grid to Storage (kWh),Solar to Home (kWh),Solar to Storage (kWh),Storage Charged Energy (kWh),Storage Discharged Energy (kWh),Storage to Home (kWh),Utilized PV Energy (kWh),Total Solar Generation (kWh),Solar to Grid (kWh),Solarbank 3 E2700 Pro - Total Generation (kWh),Solarbank 3 E2700 Pro - PV1 Generation (kWh),Solarbank 3 E2700 Pro - PV2 Generation (kWh),Solarbank 3 E2700 Pro - PV3 Generation (kWh),Solarbank 3 E2700 Pro - PV4 Generation (kWh),Carbon Reduction (kgCO2/kWh)
14/07/2025,6.49,0.00,1.14,1.14,0.00,3.28,2.40,2.40,2.11,2.07,5.35,5.72,0.04,5.45,1.09,1.40,1.58,1.38,2.08
15/07/2025,6.31,0.00,1.58,1.58,0.00,3.22,0.82,0.82,1.52,1.51,4.73,4.08,0.04,3.61,0.74,0.95,0.95,0.97,1.48
16/07/2025,7.20,0.00,1.79,1.79,0.00,3.84,2.88,2.88,1.60,1.57,5.41,8.15,1.43,8.02,2.07,1.97,2.04,1.94,2.96
17/07/2025,6.16,0.00,0.93,0.93,0.00,2.71,1.80,1.80,2.53,2.52,5.23,4.58,0.07,4.22,0.85,1.02,1.25,1.10,1.66
18/07/2025,5.40,0.00,0.79,0.79,0.00,3.12,2.72,2.72,1.49,1.49,4.61,7.47,1.63,7.29,1.11,2.04,2.12,2.02,2.71
19/07/2025,9.07,0.00,1.33,1.33,0.00,5.66,2.18,2.18,2.09,2.08,7.74,11.41,3.57,11.26,2.20,2.95,2.93,3.18,4.14
20/07/2025,4.43,0.00,0.17,0.17,0.00,2.45,1.97,1.97,1.83,1.81,4.26,8.71,4.29,8.58,2.17,2.10,2.19,2.12,3.16
21/07/2025,7.64,0.00,2.95,2.95,0.00,2.74,0.28,0.28,1.98,1.95,4.69,3.10,0.08,2.83,0.68,0.59,0.89,0.67,1.13
22/07/2025,7.38,0.00,5.16,5.15,0.01,2.13,0.13,0.14,0.10,0.10,2.22,2.27,0.01,1.84,0.52,0.39,0.26,0.67,0.82
23/07/2025,6.88,0.00,1.89,1.89,0.00,3.33,1.77,1.77,1.70,1.66,4.99,5.16,0.06,4.93,1.02,1.13,1.51,1.27,1.87
24/07/2025,6.71,0.00,4.25,4.25,0.00,1.81,0.68,0.68,0.65,0.65,2.46,2.53,0.04,2.14,0.39,0.49,0.72,0.54,0.92
25/07/2025,7.29,0.00,5.37,5.37,0.00,1.79,0.15,0.15,0.13,0.13,1.92,1.97,0.03,1.66,0.45,0.41,0.40,0.40,0.72
26/07/2025,8.73,0.00,1.85,1.85,0.00,4.95,3.14,3.14,1.96,1.93,6.88,8.40,0.31,8.20,1.46,2.22,2.33,2.19,3.05
27/07/2025,6.42,0.00,1.85,1.85,0.00,2.42,1.12,1.12,2.18,2.15,4.57,3.57,0.03,3.14,0.70,0.75,0.89,0.80,1.30
28/07/2025,10.52,0.00,3.13,3.13,0.00,4.92,3.72,3.72,2.48,2.47,7.39,8.70,0.06,8.59,1.65,2.21,2.50,2.23,3.16
29/07/2025,10.38,0.00,1.44,1.44,0.00,5.07,3.73,3.73,3.90,3.87,8.94,8.88,0.08,8.68,1.71,2.17,2.54,2.26,3.22
30/07/2025,4.90,0.00,1.13,1.12,0.01,2.29,0.63,0.64,1.49,1.49,3.77,2.98,0.06,2.65,0.67,0.58,0.76,0.64,1.08
31/07/2025,8.49,0.00,2.57,2.57,0.00,4.00,2.01,2.01,1.96,1.92,5.92,6.09,0.08,5.93,1.28,1.52,1.61,1.52,2.21
01/08/2025,8.41,0.00,1.94,1.94,0.00,4.48,3.36,3.36,2.01,1.99,6.47,7.88,0.04,7.73,1.29,2.09,2.19,2.16,2.86
02/08/2025,9.91,0.00,1.62,1.62,0.00,4.81,3.16,3.16,3.50,3.48,8.29,8.33,0.36,8.14,1.74,2.09,2.30,2.01,3.02
03/08/2025,5.18,0.00,2.15,2.15,0.00,1.73,0.48,0.48,1.31,1.30,3.03,2.21,0.00,1.89,0.43,0.44,0.59,0.43,0.80
04/08/2025,9.55,0.00,2.23,2.23,0.00,5.04,2.98,2.98,2.33,2.28,7.32,8.61,0.59,8.48,1.64,2.25,2.31,2.28,3.13
05/08/2025,8.94,0.00,1.22,1.22,0.00,5.18,3.23,3.23,2.55,2.54,7.72,9.36,0.95,9.19,1.61,2.51,2.57,2.50,3.40
